title,start_date,end_date,place,cast,runtime,age,tickets,story,genre,prstate,time
"15주년 기념공연, 영웅",2024.05.29,2024.08.11,2024.08.11,"정성화, 양준모, 민우혁, 김도형, 서영주, 이정열, 최민철 등",2시간 40분,만 7세 이상,"VIP석 160,000원, R석 140,000원, S석 100,000원, A석 80,000원, B석 60,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)"
협객외전,2024.04.16,2024.07.07,2024.07.07,"유성재, 조성필, 이승준, 이동연, 김채승, 박경호, 이세현 등",1시간 40분,만 12세 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"화요일 ~ 수요일(20:00), 목요일(16:00,20:00), 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
베어 더 뮤지컬,2024.05.22,2024.08.25,2024.08.25,"박정원, 임재윤, 윤석호, 홍기범, 한서원, 최재웅, 김재한 등",2시간 45분,만 15세 이상,"R석 88,000원, S석 66,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(15:00,19:30), 목요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [창원],2024.06.29,2024.06.30,2024.06.30,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
6시 퇴근 [대학로],2024.05.17,2024.08.11,2024.08.11,"이승현, 박시환, 이태이, 한서윤, 박가은, 오승희, 허규 등",1시간 50분,만 13세 이상,"R석 66,000원, S석 55,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
알라딘과 자스민공주 [강릉],2024.05.11,2024.05.12,2024.05.12,"김다솔, 서가영, 전승우, 송주리, 구윤희, 정민, 고승미 등",1시간 10분,24개월 이상,"R석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:00)"
틀려도 괜찮아 [대구],2024.05.25,2024.05.26,2024.05.26,"김다솔, 송주리, 정승우, 구윤희, 고승미, 정민, 임신아 등",1시간 05분,24개월 이상,"R석 55,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:00)"
천 개의 파랑,2024.05.12,2024.05.26,2024.05.26,"윤태호, 서연정, 송문선, 김건혜, 최인형, 박재은, 이동규 등",2시간 20분,만 7세 이상,"R석 90,000원, S석 60,000원, A석 30,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(14:30,19:30), 목요일 ~ 금요일(19:30), 토요일(14:00,19:00), 일요일(14:00), HOL(14:00,19:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [울산],2024.06.22,2024.06.23,2024.06.23,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
슈퍼클로젯,2024.05.11,2024.05.12,2024.05.12,"윤지원, 김나연, 박소연, 한정우, 한수인, 유한비, 이성훈 등",1시간,36개월 이상,"R석 50,000원, S석 30,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00)"
친정엄마,2024.04.20,2024.05.26,2024.05.26,"김수미, 이효춘, 신이현, 김도현, 박장현, 김혜민, 김명희 등",2시간 35분,만 7세 이상,"VIP석 150,000원, R석 130,000원, S석 100,000원, A석 70,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)"
노트르담 드 파리 [광주],2024.05.03,2024.05.05,2024.05.05,"정성화, 양준모, 윤형렬, 유리아, 정유지, 이지훈, 노윤 등",2시간 30분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 90,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,19:00), 일요일(14:00)"
버지니아 울프,2024.04.23,2024.07.14,2024.07.14,"박란주, 주다온, 윤은오, 김리현, 황순종, 전혜주",1시간 40분,만 13세 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00), HOL(14:00)"
"마포문화재단 가정의달 축제, 해피 메이: 이상한 나라의 앨리스",2024.05.11,2024.05.12,2024.05.12,"채효진, 임수정, 김병수, 김소정, 김찬양, 차용현, 이은택 등",1시간 10분,24개월 이상,"R석 65,000원, S석 50,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
폴리팝 [여수],2024.05.08,2024.05.12,2024.05.12,"정현기, 김민형, 이승은, 박선주, 김동현, 강형두, 이예성 등",1시간,24개월 이상,"R석 60,000원, S석 40,000원",,뮤지컬,공연완료,"수요일 ~ 금요일(11:00,14:00), 토요일 ~ 일요일(11:00,14:00)"
슈퍼스타 뽀로로 드림콘서트 시즌2 [수원],2024.07.06,2024.07.07,2024.07.07,"김동희, 유주혜, 김서연, 송민희, 김태란, 조보경, 홍혜원 등",1시간 10분,24개월 이상,"R석 55,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
노트르담 드 파리 [세종],2024.05.10,2024.05.12,2024.05.12,"정성화, 양준모, 윤형렬, 정유지, 마이클 리, 이지훈, 이정열 등",2시간 30분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,19:00), 일요일(14:00)"
에그박사: 연구소에서 생긴 일 [고양],2024.05.25,2024.05.26,2024.05.26,"김종해, 김양운, 안영은 등",1시간 10분,24개월 이상,"R석 80,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
에그박사: 연구소에서 생긴 일 [울산],2024.07.13,2024.07.14,2024.07.14,"김종해, 김양운, 안영은 등",1시간 10분,전체 관람가,"R석 80,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
노트르담 드 파리 [이천],2024.04.26,2024.04.28,2024.04.28,"정성화, 양준모, 윤형렬, 유리아, 정유지, 이지훈, 노윤 등",2시간 30분,만 7세 이상,"VIP석 150,000원, R석 120,000원, S석 90,000원, A석 60,000원, B석 30,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,19:00), 일요일(14:00)"
친정엄마 [부산],2024.04.06,2024.04.07,2024.04.07,"김수미, 신이현, 김도현, 김혜민, 한세라, 박미성, 심규혁 등",2시간 35분,만 7세 이상,"VIP석 150,000원, R석 130,000원, S석 100,000원, A석 70,000원",,뮤지컬,공연완료,"토요일(14:00,18:30), 일요일(14:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [당진],2024.06.01,2024.06.02,2024.06.02,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
마리 퀴리 [김해],2024.05.11,2024.05.12,2024.05.12,"김소현, 이정화, 강혜인, 최지혜, 박영수, 임별, 양승리 등",2시간 30분,만 7세 이상,"R석 99,000원, S석 88,000원, A석 66,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,18:30)"
친정엄마 [대구],2024.04.12,2024.04.13,2024.04.13,"김수미, 신이현, 박장현, 김혜민, 박지원, 이서하 등",2시간 35분,만 6세 이상,"VIP석 150,000원, R석 130,000원, S석 100,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30)"
"어린이날 특별공연, 번개맨: 전설의 시작 (앵콜)",2024.05.01,2024.05.06,2024.05.06,"허만, 윤다희, 천송이, 박찬미, 김가람, 이진욱, 이나영 등",1시간 10분,24개월 이상,"VIP석(1층) 70,000원, R석(2층) 50,000원",,뮤지컬,공연완료,"수요일(11:00,14:00), 금요일(11:00,14:00), 토요일 ~ 일요일(11:00,14:00,16:30), 월요일(11:00,14:00), 목요일(11:00,14:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [경산],2024.04.27,2024.04.28,2024.04.28,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [청주],2024.05.18,2024.05.19,2024.05.19,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [대전],2024.05.11,2024.05.12,2024.05.12,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [광주],2024.04.06,2024.04.07,2024.04.07,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
파워레인저 다이노포스: 새로운 세계 [천안],2024.05.11,2024.05.12,2024.05.12,"김석구, 박진용, 임준혁, 정택수, 김지혜, 유정호, 안소정 등",1시간 10분,전체 관람가,"R석 70,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
싯다르타 [울산],2024.04.05,2024.04.07,2024.04.07,"이태이, 고정우, 박규연, 김유진, 최수형, 이지현, 김성수 등",2시간 30분,만 7세 이상,"VIP석 120,000원, R석 100,000원, S석 80,000원, A석 60,000원",,뮤지컬,공연완료,"금요일(15:00,19:30), 토요일(14:00,18:00), 일요일(14:00)"
스쿨 오브 락 월드투어 [부산],2024.04.02,2024.04.14,2024.04.14,"코너 글룰리, 케일리 오코너, 토비 마일즈, 테일라 하포드, 루빈 브라운, 스테프 아사모아, 제이 브라이스 등",2시간 40분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 90,000원, B석 60,000원",,뮤지컬,공연완료,"화요일 ~ 목요일(19:30), 금요일(14:30,19:30), 토요일(14:00,19:00), 일요일(15:00), HOL(14:00,19:00)"
최고다 호기심딱지: 딱지 원정대 [김해(앵콜)],2024.05.25,2024.05.26,2024.05.26,"김원구, 박이안, 임재은, 김류하, 장효상, 이수민, 임연희 등",1시간 20분,36개월 이상,"R석 66,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
일 테노레 [블루스퀘어],2024.03.29,2024.05.19,2024.05.19,"홍광호, 박은태, 서경수, 김지현, 박지연, 홍지희, 전재홍 등",2시간 50분,만 7세 이상,"OP석 160,000원, VIP석 160,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,19:00), HOL(14:00,19:00)"
파가니니,2024.04.06,2024.06.02,2024.06.02,"홍석기, 홍주찬, 김경수, 윤형렬, 백인태, 이준혁, 김준영 등",2시간 30분,만 7세 이상,"VIP석 99,000원, R석 88,000원, S석 66,000원, A석 44,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [성남],2024.05.04,2024.05.05,2024.05.05,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
"헬로카봇 시즌7, 웰컴 투 파라다이스 [창원]",2024.04.13,2024.04.14,2024.04.14,"김셔니, 봉경복, 최이연, 강지선, 조성덕, 김인기, 김형진 등",1시간 5분,24개월 이상,"R석 77,000원, S석 66,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
미스트 [대학로],2024.03.12,2024.06.02,2024.06.02,"김려원, 이정화, 정우연, 김종구, 정민, 유승현, 선한국 등",1시간 40분,만 12세 이상,"R석 77,000원, S석 55,000원",,뮤지컬,공연완료,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
웨스턴 스토리 [대학로],2024.03.13,2024.06.09,2024.06.09,"주다온, 전민지, 조영화, 박규원, 김지철, 정욱진, 김재범 등",2시간 25분,만 13세 이상,"R석 88,000원, S석 66,000원, A석 44,000원, 시야제한석 77,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(15:00,19:30), 목요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(14:00,18:30)"
"ACC 퍼니, 빨래 [광주]",2024.03.22,2024.03.24,2024.03.24,"신고은, 노희찬, 강나리, 김송이, 이강혁, 안두호, 박정민 등",2시간 45분,만 12세 이상,"R석 50,000원, S석 30,000원",,뮤지컬,공연완료,"금요일(19:30), 토요일(14:00,18:30), 일요일(14:00)"
파워레인저 다이노포스: 새로운 세계 [대전],2024.04.20,2024.04.21,2024.04.21,"조상구, 박진용, 전요경, 임준혁, 정택수, 김지혜, 고훈 등",1시간 10분,전체 관람가,"R석 70,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
광염 소나타 [대학로],2024.03.16,2024.06.09,2024.06.09,"양지원, 김지철, 현석준, 박준휘, 김경수, 유승현, 유태율  등",1시간 40분,만 13세 이상,"R석 77,000원, S석 66,000원",,뮤지컬,공연완료,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
파워레인저 다이노포스: 새로운 세계 [대구],2024.04.13,2024.04.14,2024.04.14,"조상구, 박진용, 전요경, 임준혁, 정택수, 김지혜, 고훈 등",1시간 10분,24개월 이상,"R석 70,000원, S석 60,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
더 라스트맨,2024.03.05,2024.05.26,2024.05.26,"주민진, 송유택, 김지온, 홍승안, 홍나현",1시간 40분,만 12세 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"화요일(20:00), 수요일(16:00,20:00), 목요일(20:00), 금요일(16:00,20:00), 토요일 ~ 일요일(14:00,18:00), HOL(14:00,18:00)"
낭만별곡 [대학로],2024.03.19,2024.06.09,2024.06.09,"이종석, 반정모, 김우성, 박유덕, 장민수, 전하영, 박주은 등",1시간 40분,만 7세 이상,"R석 66,000원, S석 55,000원, A석 44,000원",,뮤지컬,공연완료,"화요일 ~ 수요일(20:00), 목요일(16:00), 금요일(20:00), 토요일(14:00,18:00), 일요일(14:00), HOL(14:00,18:00)"
앨리스 스튜디오,2024.03.01,2024.03.03,2024.03.03,"류세일, 권영은, 강은일, 곽다인, 류석호, 류주비, 김수민",1시간 30분,만 12세 이상,"R석 55,000원, S석 44,000원",,뮤지컬,공연완료,"금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00)"
브론테,2024.03.04,2024.06.02,2024.06.02,"정가희, 강지혜, 이봄소리, 한재아, 전성민, 전해주, 이지연 등",1시간 40분,만 7세 이상,"R석 70,000원, S석 60,000원, A석 40,000원",,뮤지컬,공연완료,"화요일 ~ 목요일(20:00), 금요일(16:00,20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
드라큘라 [부산],2024.04.02,2024.04.07,2024.04.07,"김준수, 전동석, 신성록, 임혜영, 정선아, 손준호, 박은석 등",2시간 45분,만 13세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(14:30,19:30), 목요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,19:00)"
노트르담 드 파리 [대구],2024.04.12,2024.04.21,2024.04.21,"정성화, 양준모, 윤형렬, 정유지, 마이클리, 이지훈, 노윤 등",2시간 30분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 90,000원, B석 70,000원",,뮤지컬,공연완료,"금요일(15:00,19:30), 토요일 ~ 일요일(14:00,18:30)"
이프아이월유 (IF I WERE YOU),2024.03.12,2024.06.01,2024.06.01,"오종혁, 정원영, 백인태, 황민수, 원태민, 조성태, 차규민",1시간 30분,만 12세 이상,"R석 70,000원, S석 60,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
파워레인저 다이노포스: 새로운 세계 [고양],2024.05.04,2024.05.05,2024.05.05,"조상구, 박진용, 전요경, 임준혁, 정택수, 김지혜, 고훈 등",1시간 10분,24개월 이상,"R석 66,000원, S석 55,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
노트르담 드 파리 [부산],2024.03.29,2024.04.07,2024.04.07,"정성화, 양준모, 윤형렬, 정유지, 마이클리, 이지훈, 노윤 등",2시간 30분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 90,000원",,뮤지컬,공연완료,"수요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30)"
난설,2024.03.12,2024.06.02,2024.06.02,"정인지, 최연우, 김려원, 김도빈, 주민진, 고상호, 박정원 등",1시간 40분,만 13세 이상,"R석 70,000원, S석 50,000원",,뮤지컬,공연완료,"화요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
"부산시립합창단, 피노키오와 파란마녀",2024.05.03,2024.05.04,2024.05.04,"이기선, 임희준 등",1시간 30분,36개월 이상,"R석 20,000원, S석 10,000원","[공연소개]
고전 문학으로 널리 알려진 피노키오의 이야기를 시대적 흐름에 맞추어 현대적으로 새롭게 각색
전반적으로 희극적인 요소들에 중점을 두어 코믹한 스토리 전개를 기반으로 관객들에게 익숙한 듯 하면서도 예측을 빗나가는 반전 스토리 전개로 이야기에 흥미진지함을 더한다.
원작에 나오는 파란 요정을 파란 마녀로 설정하여 주인공 피노키오와 파란 마녀 사이에 거짓말을 두고 벌어지는 사건들과 그로 인한 갈등과 화해를 통해 극이 절정에 도달하고, 거짓말에 대한 교훈이지만 색다른 결론으로 극은 결론을 맺는다.

[프로그램]
서곡 OVERTURE
1. 말하는 나무 숲으로 말할 것 같으면
2. 나는 이탈리아노
3. 나무 요정들의 노래
4. 사랑스런 내 피노키오
5. 말하는 나무토막
6. 학교가기 싫은 날
7. 극장에 간 피노키오
8. 파란 마녀의 성
9. 파란 거울
10. SHOW OPENING
11. SHOW TIME (feat.부산 갈매기)
12. 큰일났네 큰일났어
13. 다 방법이 있지
14. 피노키오
15. 멍청한 나무 토막
16. 마녀님이 화났어요
17. 오호! 누가 누가 거짓말을!
18. 바람아 불어라
19. 오, 나의 피노키오
20. 콜록콜록, 쿨럭쿨럭
21. 에필로그 Epilogue",뮤지컬,공연완료,"금요일(19:30), 토요일(11:00,15:00)"
드라큘라 [대전],2024.03.20,2024.03.24,2024.03.24,"김준수, 전동석, 신성록, 임혜영, 정선아, 손준호, 박은석 등",2시간 45분,만 13세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"수요일 ~ 목요일(19:30), 금요일(14:30,19:30), 토요일(14:00,19:00), 일요일(14:00)"
"10주년 기념공연, 레베카 [울산(앵콜)]",2024.04.13,2024.04.14,2024.04.14,"류정한, 민영기, 오만석, 신영숙, 옥주현, 김보경, 이지혜 등",2시간 55분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,19:00)"
마리 퀴리 [안동],2024.03.16,2024.03.17,2024.03.17,"김소현, 이정화, 강혜인, 박영수, 김지철, 김찬호, 양승리 등",2시간 30분,만 7세 이상,"VIP석 99,000원, R석 88,000원, S석 66,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,18:30)"
"10주년 기념공연, 레베카 [전주(앵콜)]",2024.04.06,2024.04.07,2024.04.07,"류정한, 민영기, 오만석, 신영숙, 옥주현, 김보경, 이지혜 등",2시간 55분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,19:00)"
"10주년 기념공연, 레베카 [창원(앵콜)]",2024.03.30,2024.03.31,2024.03.31,"류정한, 민영기, 오만석, 신영숙, 옥주현, 김보경, 이지혜 등",2시간 55분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,19:00)"
헤드윅,2024.03.22,2024.06.23,2024.06.23,"조정석, 유연석, 전동석, 장은아, 이예은, 여은, 이준 등",2시간 15분,만 16세 이상,"VIP석 150,000원, R석 130,000원, S석 100,000원, A석 80,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,18:30), HOL(15:00)"
폭풍우 치는 밤에,2024.02.24,2024.03.02,2024.03.02,"정수훈, 김유성, 김나혁, 차민수, 정연우, 전여정, 정사랑 등",1시간 30분,만 5세 이상,"R석 35,000원, S석 30,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(14:00), 목요일 ~ 금요일(19:30), 토요일(14:00,17:00), 일요일(15:00), HOL(14:00,17:00)"
마리 퀴리 [광주],2024.03.02,2024.03.03,2024.03.03,"김소현, 최지혜, 김지철, 김찬호, 민정아, 신은호, 홍유정 등",2시간 30분,만 7세 이상,"VIP석 99,000원, R석 88,000원, S석 66,000원, 휠체어석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,18:30)"
오즈 [대학로],2024.02.27,2024.05.06,2024.05.06,"문성일, 이승헌, 황두현, 양지원, 송유택, 홍성원, 송상훈 등",1시간 40분,만 7세 이상,"R석 60,000원, S석 50,000원, A석 40,000원",,뮤지컬,공연완료,"월요일(20:00), 수요일(16:00,20:00), 목요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,18:00)"
파워레인저 다이노포스: 새로운 세계 [제주],2024.03.30,2024.03.31,2024.03.31,"조상구, 박진용, 전요경, 임준혁, 정택수, 김지혜, 고훈 등",1시간 10분,전체 관람가,"VIP석 50,000원, R석 40,000원, S석 30,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
디어 에반 핸슨 (Dear Evan Hansen),2024.03.28,2024.06.23,2024.06.23,"김성규, 박강현, 임규형, 김선영, 신영숙, 윤승우, 임지섭 등",2시간 40분,만 13세 이상,"VIP석 160,000원, R석 130,000원, S석 100,000원, A석 70,000원",,뮤지컬,공연완료,"화요일 ~ 목요일(19:30), 금요일(14:30,19:30), 토요일(14:00,19:00), 일요일(15:00), HOL(14:00,19:00)"
알라딘과 자스민공주 [원주],2024.04.27,2024.04.28,2024.04.28,"김다솔, 서가영, 전승우, 송주리, 구윤희, 정민, 고승미 등",1시간 05분,24개월 이상,"R석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:00)"
"10주년 기념공연, 레베카 [광주(앵콜)]",2024.03.23,2024.03.24,2024.03.24,"박형규, 공민섭, 박선정, 정성균, 김태희, 정창민, 최훈호 등",2시간 55분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,19:00)"
"10주년 기념공연, 레베카 [성남(앵콜)]",2024.03.16,2024.03.17,2024.03.17,"류정한, 민영기, 오만석, 김호경, 신영숙, 옥주현, 김보경 등",2시간 55분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,19:00)"
알라딘과 자스민공주 [해운대],2024.04.13,2024.04.14,2024.04.14,"김다솔, 서가영, 전승우, 송주리, 구윤희, 정민, 고승미 등",1시간 05분,24개월 이상,"R석 44,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:00), 일요일(11:00,13:30,15:30)"
Via Air Mail (비아 에어 메일) [대학로],2024.03.06,2024.05.26,2024.05.26,"송원근, 성태준, 변희상, 나하나, 강혜인, 임예진, 황만익 등",1시간 50분,만 7세 이상,"R석 70,000원, S석 50,000원",,뮤지컬,공연완료,"화요일 ~ 금요일(20:00), 토요일(15:00,19:00), 일요일(14:00,18:00), HOL(14:00,15:00,18:00,19:00)"
싯다르타 [광주],2024.03.08,2024.03.10,2024.03.10,"고정우, 박규연, 김유진, 최수형, 김성수, 김지강, 박태성 등",2시간 30분,만 7세 이상,"VIP석 120,000원, R석 100,000원, S석 80,000원, A석 60,000원",,뮤지컬,공연완료,"금요일(15:00,19:30), 토요일(14:00,18:00), 일요일(14:00)"
헬로카봇 시즌7: 웰컴 투 파라다이스 [울산],2024.03.02,2024.03.03,2024.03.03,"김셔니, 봉경복, 최이연, 강지선, 조성덕, 김인기, 김형진 등",1시간 5분,24개월 이상,"R석 77,000원, S석 66,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
"헬로카봇 시즌7, 웰컴 투 파라다이스 [여수]",2024.03.23,2024.03.24,2024.03.24,"김셔니, 봉경복, 최이연, 강지선, 조성덕, 김인기, 김형진 등",1시간 5분,24개월 이상,"R석 77,000원, S석 66,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
"헬로카봇 시즌7, 웰컴 투 파라다이스 [청주]",2024.04.06,2024.04.07,2024.04.07,"김셔니, 봉경복, 최이연, 강지선, 조성덕, 김인기, 김형진 등",1시간 05분,24개월 이상,"R석 77,000원, S석 66,000원",,뮤지컬,공연완료,"토요일(11:00,14:00,16:30), 일요일(11:00,14:00)"
다윈 영의 악의 기원,2024.03.08,2024.03.24,2024.03.24,"윤태호, 최인형, 김승대, 이동규, 송문선, 서연정, 이기완 등",2시간 45분,만 13세 이상,"R석 90,000원, S석 60,000원, A석 30,000원",,뮤지컬,공연완료,"화요일(19:30), 수요일(14:30,19:30), 목요일 ~ 금요일(19:30), 토요일(14:00,19:00), 일요일(14:00)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [안양],2024.04.13,2024.04.14,2024.04.14,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간 10분,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
캐치! 티니핑: 두근두근 싱어롱 콘서트! [부산],2024.04.20,2024.04.21,2024.04.21,"공예림, 이아영, 유현주, 이겨울, 박희민, 최현진, 김혜경 등",1시간 10분,24개월 이상,"R석 66,000원, S석 44,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(11:00,14:00,16:30)"
"10주년 기념공연, 레베카 [부산(앵콜)]",2024.03.02,2024.03.10,2024.03.10,"류정한, 민영기, 오만석, 신영숙, 옥주현, 김보경, 이지혜 등",2시간 55분,만 7세 이상,"VIP석 170,000원, R석 140,000원, S석 110,000원, A석 80,000원",,뮤지컬,공연완료,"토요일 ~ 일요일(14:00,19:00)"
